,model_name,fold_index,metric_key,metric_score
93,DecisionTreeClassifier,3,score_time,0.008486032485961914
94,DecisionTreeClassifier,4,score_time,0.009003639221191406
95,DecisionTreeClassifier,5,score_time,0.009535789489746094
96,DecisionTreeClassifier,6,score_time,0.015995025634765625
97,DecisionTreeClassifier,7,score_time,0.0074846744537353516
98,DecisionTreeClassifier,8,score_time,0.011246442794799805
99,DecisionTreeClassifier,9,score_time,0.009015560150146484
100,DecisionTreeClassifier,0,test_balanced_accuracy,0.7282231742146064
101,DecisionTreeClassifier,1,test_balanced_accuracy,0.6912382700938393
102,DecisionTreeClassifier,2,test_balanced_accuracy,0.6918340589950742
103,DecisionTreeClassifier,3,test_balanced_accuracy,0.679274528864455
104,DecisionTreeClassifier,4,test_balanced_accuracy,0.7164956664515549
105,DecisionTreeClassifier,5,test_balanced_accuracy,0.7111839041963126
106,DecisionTreeClassifier,6,test_balanced_accuracy,0.698201638661297
107,DecisionTreeClassifier,7,test_balanced_accuracy,0.7068033851507552
108,DecisionTreeClassifier,8,test_balanced_accuracy,0.669090425640711
109,DecisionTreeClassifier,9,test_balanced_accuracy,0.6870691947393182
110,DecisionTreeClassifier,0,test_precision,0.8081967213114755
111,DecisionTreeClassifier,1,test_precision,0.7691131498470948
112,DecisionTreeClassifier,2,test_precision,0.7734375
113,DecisionTreeClassifier,3,test_precision,0.7640625
114,DecisionTreeClassifier,4,test_precision,0.7933753943217665
115,DecisionTreeClassifier,5,test_precision,0.7819548872180451
116,DecisionTreeClassifier,6,test_precision,0.7800632911392406
117,DecisionTreeClassifier,7,test_precision,0.7858267716535433
118,DecisionTreeClassifier,8,test_precision,0.7605177993527508
119,DecisionTreeClassifier,9,test_precision,0.7668711656441718
120,DecisionTreeClassifier,0,test_recall,0.7643410852713178
121,DecisionTreeClassifier,1,test_recall,0.7798449612403101
122,DecisionTreeClassifier,2,test_recall,0.7662538699690402
123,DecisionTreeClassifier,3,test_recall,0.7569659442724458
124,DecisionTreeClassifier,4,test_recall,0.7786377708978328
125,DecisionTreeClassifier,5,test_recall,0.804953560371517
126,DecisionTreeClassifier,6,test_recall,0.7631578947368421
127,DecisionTreeClassifier,7,test_recall,0.7724458204334366
128,DecisionTreeClassifier,8,test_recall,0.7286821705426356
129,DecisionTreeClassifier,9,test_recall,0.7751937984496124
130,DecisionTreeClassifier,0,test_f1,0.7856573705179284
131,DecisionTreeClassifier,1,test_f1,0.7744418783679754
132,DecisionTreeClassifier,2,test_f1,0.7698289269051322
133,DecisionTreeClassifier,3,test_f1,0.7604976671850698
134,DecisionTreeClassifier,4,test_f1,0.7859375
135,DecisionTreeClassifier,5,test_f1,0.7932875667429443
136,DecisionTreeClassifier,6,test_f1,0.7715179968701096
137,DecisionTreeClassifier,7,test_f1,0.7790788446526151
138,DecisionTreeClassifier,8,test_f1,0.7442596991290577
139,DecisionTreeClassifier,9,test_f1,0.7710100231303008
140,DecisionTreeClassifier,0,test_f2,0.7727272727272727
141,DecisionTreeClassifier,1,test_f2,0.7776747062461349
142,DecisionTreeClassifier,2,test_f2,0.7676799007444168
143,DecisionTreeClassifier,3,test_f2,0.7583746898263027
144,DecisionTreeClassifier,4,test_f2,0.781541330018645
145,DecisionTreeClassifier,5,test_f2,0.8002462296091105
146,DecisionTreeClassifier,6,test_f2,0.7664800995024875
147,DecisionTreeClassifier,7,test_f2,0.7750854302578442
148,DecisionTreeClassifier,8,test_f2,0.7348342714196372
149,DecisionTreeClassifier,9,test_f2,0.7735148514851485
150,DecisionTreeClassifier,0,test_roc_auc,0.7282231742146064
151,DecisionTreeClassifier,1,test_roc_auc,0.6912382700938393
152,DecisionTreeClassifier,2,test_roc_auc,0.6918340589950742
153,DecisionTreeClassifier,3,test_roc_auc,0.679274528864455
154,DecisionTreeClassifier,4,test_roc_auc,0.7164956664515549
155,DecisionTreeClassifier,5,test_roc_auc,0.7111839041963126
156,DecisionTreeClassifier,6,test_roc_auc,0.698201638661297
157,DecisionTreeClassifier,7,test_roc_auc,0.7068033851507554
158,DecisionTreeClassifier,8,test_roc_auc,0.669090425640711
159,DecisionTreeClassifier,9,test_roc_auc,0.6870691947393182
160,SVC,0,fit_time,416.8058259487152
161,SVC,1,fit_time,411.94242429733276
162,SVC,2,fit_time,413.9263401031494
163,SVC,3,fit_time,415.0555055141449
164,SVC,4,fit_time,412.3827919960022
165,SVC,5,fit_time,414.9191963672638
166,SVC,6,fit_time,404.93915820121765
167,SVC,7,fit_time,420.59514236450195
168,SVC,8,fit_time,413.4336109161377
169,SVC,9,fit_time,418.8987138271332
170,SVC,0,score_time,2.2476248741149902
171,SVC,1,score_time,3.5585973262786865
172,SVC,2,score_time,3.343456745147705
173,SVC,3,score_time,3.0228018760681152
174,SVC,4,score_time,3.5358011722564697
175,SVC,5,score_time,3.0511057376861572
176,SVC,6,score_time,3.8657329082489014
177,SVC,7,score_time,1.408043384552002
178,SVC,8,score_time,3.44697642326355
179,SVC,9,score_time,1.6209220886230469
180,SVC,0,test_balanced_accuracy,0.6837617299061607
181,SVC,1,test_balanced_accuracy,0.6651060791513668
182,SVC,2,test_balanced_accuracy,0.6508144293684701
183,SVC,3,test_balanced_accuracy,0.6724331587933048
184,SVC,4,test_balanced_accuracy,0.6478593659377374
185,SVC,5,test_balanced_accuracy,0.6552827630149407
186,SVC,6,test_balanced_accuracy,0.6684222779515917
187,SVC,7,test_balanced_accuracy,0.664201050507691
188,SVC,8,test_balanced_accuracy,0.6599619561882555
189,SVC,9,test_balanced_accuracy,0.6656337567241415
190,SVC,0,test_precision,0.7546362339514978
191,SVC,1,test_precision,0.7401685393258427
192,SVC,2,test_precision,0.7322946175637394
193,SVC,3,test_precision,0.7454545454545455
194,SVC,4,test_precision,0.729312762973352
195,SVC,5,test_precision,0.7321428571428571
196,SVC,6,test_precision,0.7453505007153076
197,SVC,7,test_precision,0.7382920110192838
198,SVC,8,test_precision,0.7364016736401674
199,SVC,9,test_precision,0.7428571428571429
200,SVC,0,test_recall,0.8201550387596899
201,SVC,1,test_recall,0.8170542635658915
202,SVC,2,test_recall,0.8003095975232198
203,SVC,3,test_recall,0.8250773993808049
204,SVC,4,test_recall,0.804953560371517
205,SVC,5,test_recall,0.8250773993808049
206,SVC,6,test_recall,0.8065015479876161
207,SVC,7,test_recall,0.8297213622291022
208,SVC,8,test_recall,0.8186046511627907
209,SVC,9,test_recall,0.8062015503875969
210,SVC,0,test_f1,0.7860326894502229
211,SVC,1,test_f1,0.7767133382461311
212,SVC,2,test_f1,0.764792899408284
213,SVC,3,test_f1,0.7832476120499633
214,SVC,4,test_f1,0.7652685798381162
215,SVC,5,test_f1,0.7758369723435226
216,SVC,6,test_f1,0.774721189591078
217,SVC,7,test_f1,0.7813411078717201
218,SVC,8,test_f1,0.7753303964757711
219,SVC,9,test_f1,0.7732342007434944
